nakama102  | + /nakama/nakama migrate up --database.address local:localdb@postgres:5432/nakama
nakama102  | {"level":"info","ts":"2026-07-15T10:15:05.242Z","caller":"server/db.go:140","msg":"Database information","version":"PostgreSQL 15.18 on aarch64-unknown-linux-musl, compiled by gcc (Alpine 15.2.0) 15.2.0, 64-bit"}
nakama102  | {"level":"info","ts":"2026-07-15T10:15:05.242Z","caller":"migrate/migrate.go:109","msg":"Applying database migrations","limit":-1}
nakama102  | {"level":"info","ts":"2026-07-15T10:15:05.244Z","caller":"migrate/migrate.go:116","msg":"Successfully applied migration","count":0}
nakama102  | + exec /nakama/nakama --name nakama102 --database.address local:localdb@postgres:5432/nakama --config /nakama/data/nakama.yml
nakama102  | {"level":"info","ts":"2026-07-15T10:15:05.250Z","caller":"server/config.go:95","msg":"Successfully loaded config file","path":"/nakama/data/nakama.yml"}
nakama102  | {"level":"warn","ts":"2026-07-15T10:15:05.250Z","caller":"server/config.go:331","msg":"WARNING: insecure default parameter value, change this for production!","param":"console.username"}
nakama102  | {"level":"warn","ts":"2026-07-15T10:15:05.250Z","caller":"server/config.go:335","msg":"WARNING: insecure default parameter value, change this for production!","param":"console.password"}
nakama102  | {"level":"warn","ts":"2026-07-15T10:15:05.250Z","caller":"server/config.go:339","msg":"WARNING: insecure default parameter value, change this for production!","param":"console.signing_key"}
nakama102  | {"level":"info","ts":"2026-07-15T10:15:05.250Z","caller":"main.go:144","msg":"Nakama starting"}
nakama102  | {"level":"info","ts":"2026-07-15T10:15:05.250Z","caller":"main.go:145","msg":"Node","name":"nakama102","version":"3.39.0+721a5d3","runtime":"go1.26.3","cpu":12,"proc":12}
nakama102  | {"level":"info","ts":"2026-07-15T10:15:05.250Z","caller":"main.go:146","msg":"Data directory","path":"/nakama/data"}
nakama102  | {"level":"info","ts":"2026-07-15T10:15:05.250Z","caller":"main.go:157","msg":"Database connections","dsns":["local:xxxxx@postgres:5432/nakama"]}
nakama102  | {"level":"info","ts":"2026-07-15T10:15:05.254Z","caller":"server/db.go:140","msg":"Database information","version":"PostgreSQL 15.18 on aarch64-unknown-linux-musl, compiled by gcc (Alpine 15.2.0) 15.2.0, 64-bit"}
nakama102  | {"level":"info","ts":"2026-07-15T10:15:05.260Z","caller":"server/leaderboard_rank_cache.go:140","msg":"Initializing leaderboard rank cache"}
nakama102  | {"level":"info","ts":"2026-07-15T10:15:05.260Z","caller":"server/runtime.go:667","msg":"Initialising runtime","path":"/nakama/data/modules"}
